delivery_id,Date,Exam Name,Score,Passed,Points Earned,Points Available,Duration,Form,Form ID,Form Version ID
349dbc9d-df68-4d05-ac75-4366eb8fd6df,24:07.9,Game of Thrones Season 1,47.61904762,,10,21,821,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
226a5398-2ccd-4aa8-a56f-9f01780c212b,22:25.1,Game of Thrones Season 1,80.95238095,,17,21,339,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
9538ee75-2a54-4dac-b992-d9b55e471a5e,32:09.3,Game of Thrones Season 1,42.85714286,,9,21,346,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
07d14633-0be8-4e34-bc11-a40c70928227,21:08.0,Game of Thrones Season 1,33.33333333,,7,21,675,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
3e9b0876-3ce2-4a60-af16-3c2aa4f21667,33:51.3,Game of Thrones Season 1,47.61904762,,10,21,568,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
e025f063-c199-46e8-9905-0d7ad99b2dcb,34:46.4,Game of Thrones Season 1,47.61904762,,10,21,797,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
2e4ac1ef-c9a8-4843-ac5d-3630155aefa9,51:53.0,Game of Thrones Season 1,57.14285714,,12,21,502,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
85a40548-4198-4884-9e2c-4b05b6a3063c,09:51.7,Game of Thrones Season 1,23.80952381,,5,21,541,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
a8c8792d-334d-4c9b-af25-5955a3b31df0,26:14.8,Game of Thrones Season 1,47.61904762,,10,21,669,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
58bae714-616c-433c-8d14-10af6d3df896,26:34.7,Game of Thrones Season 1,66.66666667,,14,21,539,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
bd7a0cc7-ffae-4d5e-bc3a-70e4f1d35cf4,01:27.6,Game of Thrones Season 1,52.38095238,,11,21,652,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
24e6fc66-c2cc-48ac-b78a-fa0218b1e2d4,48:11.2,Game of Thrones Season 1,57.14285714,,12,21,643,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
28a3ce2e-167e-4b9f-a1ff-db105b91f88a,51:47.3,Game of Thrones Season 1,33.33333333,,7,21,673,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
6bf32737-ef3d-4211-a991-835508eea270,43:27.6,Game of Thrones Season 1,57.14285714,,12,21,359,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
9a06b1d3-a371-4767-8daf-3175a3859a01,17:29.5,Game of Thrones Season 1,66.66666667,,14,21,382,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
